clean_text,score,bank
verifikasi wajah gagal terus apa tidak ada solusi lain untuk verifikasi pemilik rekening agar tidak harus selalu ke costumer service nya ketika ganti hp,1,BCAMobile_reviews
mohon maaf sudah beberapa kali mencoba untuk aktivasi lampu indikatornya tidak ada hijau sama sekali sudah tanya ke mba teller nya harus uninstall kemudian install ulang dan mencoba ulang sudah saya coba tetep gak adaa masalah sinyal sinyal udah ada pulsa adaa tetep gak bisa saya coba terus sampe pulsa habis terkuras sama sekali tidak bisa,1,BCAMobile_reviews
aplikasi di perbarui malah parah banget data udah sesuaiscan wajah sudah asli verifikasi gagal terus saya selaku nasabah bca udah hampir thn selalu mengandalkan mbanking bca tpi sekarang sangat mengecewaka tolong pihak bca veridikasi wajah di permudah trimaksih,1,BCAMobile_reviews
aplikasi makin gx jelas padahl mau buat penting,1,BCAMobile_reviews
tambah bagus ya sekarangga ada angin ga ada hujan tibatiba suruh registrasi ulangudah coba registrasi ulang tapi tetep ga bisasuruh registrasi di atm bcaga ngerti lagi sih sekarang pakai mbanking malah tambah ribet jadinya,1,BCAMobile_reviews
asli mau masuk mbanking susah skarang harus verifikasi wajah sblm y gak pernah ini wajah asli pemilik tapi gak ke ditek ribet,1,BCAMobile_reviews
payah force close terus,1,BCAMobile_reviews
kayak lapet sekarang aplikasinya asik indikator merah terus padahal jaringan bagus,1,BCAMobile_reviews
trs aksi tdk masuk sdh jam masih proses bca aneh gak habis pikri,1,BCAMobile_reviews
gagal di bagian verifikasi wajah padahal wajah di ktp gk beda amat,1,BCAMobile_reviews
fitur editpenghapus riwayat transfer malah dihapus,1,BCAMobile_reviews
saya cuma mau buat rekening dgn cara online tapi gk di approve mungkin lebih dari kali sy vidcall untuk verifikasi tapi nggak juga di approve sy buat di bank lain untuk rek online cuma menit jadi tolong dong di mudahkan jangan gitu dgn calon nasabah baru masa pelit banget cuma mau pindahan,1,BCAMobile_reviews
tiap nabung kesedot mulu jadi mls nabung di bca,1,BCAMobile_reviews
ga bisa login sampah,1,BCAMobile_reviews
koneksi lancar tapi mau masuk ke aplikasi tidak bisa koneksi terputus,1,BCAMobile_reviews
kenapa susah untuk daftar mbankingtidak bisa d klik persetujuantolong di bantu,1,BCAMobile_reviews
aplikasi skarang kluar mlu udh instal download hapus chace hapus data restart pake wifi pake data pasti stiap d buka langsung kluar sendiri hadeeh,1,BCAMobile_reviews
sementara transaksi tidak dapat di proses silahkan ulangi beberapa saat lagiasu dari tadi di spam gabisa ancokkk asu,1,BCAMobile_reviews
selalu keluar sendiri aplikasinya,1,BCAMobile_reviews
sistem sedang tidak tersedia trus nih bos aplikasi pas mau trasfer lagi urgen bisanya bgini ada pemberitahuan mt pun ngga makin kemari makin sampah bner nih aplikasi tolonglah kalo bikin aplikasi yg bener qcnya makin kemari bukan makin bner malah ada aja error yg barunya lagi kocak,1,BCAMobile_reviews
masa iya pake qris ga kebayar karna error tp uang kesedot uang smpe skrng blm balik jg,1,BCAMobile_reviews
lagi urgent malah maintenence taeeeekkkkkklah ini kenapa lagi gak bisa tf ke bni,1,BCAMobile_reviews
