Singkatan/Slang,Frekuensi,Contoh Ulasan 1,Contoh Ulasan 2,Contoh Ulasan 3
smbil,3,[BRImo] apalah brimo skrg kualitasnya kok makin mnurun gini msak gara lg on the phone gk bs buka app brimo hadeee smakin lama bukan smakin canggi tp mala smkin ktinggalan sm app banking yg aku ksi bintang aja krna aku sngt gk puas kl uda bs buka app brimo smbil tlp nan bru aku tamba bintang nya,[BRImo] makin kesini hbs pembaruan knpa bnyak btl peraturan smbil tlpnan ja gbisa masuk mw tranfer ja dr kemaren gbisa g lama kututup bank nya,[BRImo] sumpah aplikasi sbnrnya bagus tp syang karywannya ato aturanya bikin gw mls tdi dtng bank bri cabang wisma asri bekasi utara anjrittt pelayanan najis gw alesan udh gak jam kerja gw mau nanya smbil duduk aja langsung blng gak duduk gila kali pelayan macam apa padhal gw mau nanya knpa gw ambil duit tm udh notifikasi pengeluran uangnya eh uangnya tungguin gak keluar coba parah u bri gak kasi pelaya baik kalah sm bnk bca plyanan luar biasa
bagussss,3,[BRImo] bagussss bgt mempermudahhhh cuma kadang kalo ngirim e wallet dana kadang tulisan gagal pdhl saldo masuk jd double gt,[livin] hadeuh nih aplikasi gk jlss bangettt kaga membantu kaya bank sebelah pas mau masuk aplikasi kaga pencet sama skali bacaan loginnya padahal sinyal data bagussss bangettt alhasil sama skali bisa pencet buka aplikasi bisa pas buka aplikasi livin malah gk bsa pencet dong di perbaiki lagii sistemnya kaya bank sebelah yg bagus,[Wondr] bagussss sih payah tarik kartu aja bisa hadeeeeehhh
mutusin,3,[BRImo] heh ajg benerin tuh apk lu kebanyakn maintenance tolol gara gara lu mutusin mimpi org dongo ga gw punya rekening bank,[livin] susah verifikasi muka udah x verifikasi muka gagal udah geser kesana kesini kesitu alhasil gagal akhirnya mutusin buat uninstall ganti bank ga susah buat daftarnya,[livin] asli heh syok btl transfer bank malah gagal pakai bi fast transfer gagal malah saldo berkurang bkin jengkel aj dicek mutasi bank penerima gk masuk transferan uang tp saldo berkurang baru pertama kali transfer pakai apk livin mandiri biasanya langsung atm cuman antri panjang bgt jadi mutusin coba pakai livin mandiri sekalinya malah kya gni astga
jauhhh,3,[BCAMobile] susah skli mau membuka mbangking yg trblokir pdhl bilang klo misal blm punya kartunya blm cetak kartu krna memang jauhhh,[BRImo] terlalu ribet pake bri sumpah bandingin sama bca mah jauhhh,[Wondr] gajelas balik lg syarat ketentuan padahal udh login hp ram masa iya ngaco mah aplikasinya yg down payah mending bni mobile banking jauhhh
babget,3,[BCAMobile] ribet babget si njir pake segala foto udah pas gagal gagal mulu kaya mau pinjol aja,[livin] tau tau mendadak muter muter aja yaa padahal urgen babget mau keperluan dong diperbaiki lagiiii kenapa jadi muter muter mendadak jaringan oke kenceng buka apk mobile lainn oke oke aja,[Wondr] otp lewat email lemot babget ga masuk masuk sampe tunggu hari berikutnya baru sekali masuk udah bahagia ternyata ga setor tunai pakai aplikasi kalo jadi sepenuhnya lebih baik dimatengin dulu deh aplikasinya kaya gini jadi menuhin memori hp aja aplikasi jadinya bni mobile wondr by bni dibutuhkan banyak transaksi kartu terutama setor tunai mudah aplikasi bni mobilenya
brg,3,[BCAMobile] habis update bukannya makin bagus malah gk dipake padahal urgent mau transfer gaji pegawai mau beli brg jadi malah ribet diperbaiki kembalikan versi lama aja jelek gini gmna sih,[BRImo] sengaja upgrade apk brimo krna brg kali opsi untk mmbntu sya yg lpa nma username sya coba ikutin intruksi bgian masukkan nmr otp tpi malah ggl bbrp kli pdhl nmr lgsg d masukin bgtu nmr otp yg sya terima dri email masuk tlg pencerahannya sya butuh bgt buat kegiatan transaksi,[livin] info teman kalo uangnya habis dipotong biaya bulanan kartu atm terus diblokir pemerintah jaman skrg memang nyusahin bingit nyimpan uang gk jaman dulu mlh uang utuh dpet bunga bulanan brg top jaman dulu amannya masak sih nabung koq uangnya lama lama habis
dijwb,3,[BRImo] knp akun di blokir stelah daftar brimo padahal blum pernah salah pas login mohon dijwb,[livin] mohon penilaian keluhan nasabah via playstore ditanggapin bkn dijwb via robot mesin gimana maju bersaing dgn bank swasta jika demikian sepele rusaknya aplikasi livin gak ditanggapin,[Wondr] fitur tersedia mau tf kak kira kenapa kak minta dijwb
hallooo,3,[BRImo] penguna baru uploud data oploud video yg cuma detik gak malah nyalahin jaringan putus hallooo wifi berkecepatan kereta cepat jepang bukan kereta cepat disini yaaa perbaiki sama nyaman,[livin] dinihari selalu perawatan rutin tidak di gunakan kalian fikir masyarakat transaksinya pagi siang sore hari otak di pakai buat berfikir giliran kendala transaksi nasabah disuruh tunggu beberapa hari kerja giliran kesalahan kalian cuma minta maaf atas ketidak nyamanannya contoh cimb niaga pelayanan fast respon transaksi kapan lancar hallooo user coba cek tuh komentar rating bintang banyak ketidak puasan,[Wondr] aplikasi banyak kendala nya urgent malah bisa gunakan un install install ulang malah minta foto ktp dan lucu nya gagal alasan pakai bukan ktp electronic hallooo hari gini apa make ktp bukan ktp electronic laporan call service yang di wa malah di antepin bae parag
kmbl,3,[BRImo] aplikasi menu tarik tunai gak gunakan pdhl mau sahur mau ambil tunai buat beli mkn an tp aplikasinya tdk di gunakan hmmm mending kmbl kan aja atm dr pd aplikasi yg tdk guna di saat dibutuhkan,[BRImo] akun brimo di blokir sudh mngkt prosedurnya tp ngga kecewa gue bintng aja dulu entr klo udh kmbl akunku br aku beri bntg,[livin] gak login lgi krn blm pnya kartu kredit debit gara reset hp solusinya hrs pnya kartu dlu ada cara tuk login kmbl kartu
sp,3,[BRImo] saat kasih bintang soalnya aplikasi bri membantu rakyat kecil malah menyusahkan rakyat kecil malah persulit bri cabang bukit kemuning sp kabupaten kampar provinsi riau tukang surve bernama mutia fajar tidak bisa membantu rakyat kecil malah mempersulit terutama mutia ucapan nya menyakitkan sombong gak apalah gak percaya bagi saya bank bri bukan bank rakyat saya sudah puluhan tahun jadi nasabah,[livin] ajg mandiri ni coba kalo off kasih notif kek apa gue mau setoran duit mandiri kaga dikirim kasih notif pemberitahuan kalo off tu goblokkkkkk bikin orang kena sp aja ajg,[livin] sp sekrng ndak di pencet
