Singkatan/Slang,Frekuensi,Contoh Ulasan 1,Contoh Ulasan 2,Contoh Ulasan 3
gak,23883,[BCAMobile] masa gue isi flazz selalu gagal kedebit gak layak bgt gue transaksi gue,[BCAMobile] setelah masuk mbanking aktivasi ulang cs buat transaksi finansialnya padahal sebelumnya pernah aktif hp yg sama ribet banget tau gak sih,[BCAMobile] payah jauh sama livin mandiri kirim sms kode gak masuk masuk muter aja
ga,20600,[BCAMobile] qris ga di pakai daritadi loading mulu transfer uang gabisa,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] akun nya ga bis akembali
aja,18153,[BCAMobile] ribet banget ni apk sumpah dikir verif dikit verif udhmah nyedot pulsa mulu benerin lah jangan ribet gini mau pake aja ribet cuh,[BCAMobile] payah jauh sama livin mandiri kirim sms kode gak masuk masuk muter aja,[BCAMobile] apk dongo login aja kaga
udah,15884,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong,[BCAMobile] indikator lampu merah terus mana sering gitu mulu mau dipakek kayak gitu mulu berjam hak sinyal bagus apk udah diperbarui kejadian terus berulang sering,[BCAMobile] verifikasi e ktp wajah selalu gagal padahal data udah benar
yg,14415,[BCAMobile] setelah masuk mbanking aktivasi ulang cs buat transaksi finansialnya padahal sebelumnya pernah aktif hp yg sama ribet banget tau gak sih,[BCAMobile] udah restart udah x masuk qris buffering terus padahal pake wifi kapasitas yg paling bagus pdhl pake bca mobile krn simpel bagus cepat transaksinya alasan yg mau utarakan,[BCAMobile] yg terupdate tiap login mesti x siih login pertama input kode akses auto masuk harus ulangi ketik barulah masuk selalu kaya gitu lohh versi terbaru padahal versi sebelumnya gak pernah gini normal aja sekali login langsung masuk mohon penjelasannya min
bca,10570,[BCAMobile] kasik bintang dulu aku new user bca saldoku k pas cek kok berkurang jadi k terus notif transaksi jga lambat gaada catatan transaksi jga dong perbaiki kalau udh dibalas aku tambahin bintang,[BCAMobile] bca lgi gangguan apa gimana loading terus mau masuk bca mobile,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong
gk,9925,[BCAMobile] sekarang bca mobile gk di akses sy menggunakan wifi yah,[BCAMobile] gk tahu eror mulu,[BCAMobile] nomor udah benar kemarin mau pindah hp baru gk kode verifikasi trus mau login hp yg lama malah gk bisa login
pake,8049,[BCAMobile] ribet banget ni apk sumpah dikir verif dikit verif udhmah nyedot pulsa mulu benerin lah jangan ribet gini mau pake aja ribet cuh,[BCAMobile] aplikasi nya sampah tiba tiba keluar terus registrasi ulang pake sms pulsa sangat membantu delete,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya
gimana,7320,[BCAMobile] bca lgi gangguan apa gimana loading terus mau masuk bca mobile,[BCAMobile] kok nggk nerima kode otp nya sejam lebih nunggu gimana si,[BCAMobile] gimana tolong habis ganti hp baru dipindahkan aktifasi lgi muncul proses silakan ulangi beberapa lagi udah ganti cardnya di sim lalu sudah pakai data tidak pakai wifi jaringan stabil restart hp juga udh kok kyk gitu
minta,5501,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] kenapa sama mau masuk aplikasi mau minta kode otp kali masuk kode otp nya nomor aktif pulsa sinyal internet stabil di coba beberapa jam kemudian tidak terima kode otp,[BCAMobile] dipindahkan hp laen diulang dr awal tp verifikasi terahir minta foto wajah da sampe kali bisa alhasil disuruh hub pusat m bca nya terblokir dong solusinya gimana sih
udh,5406,[BCAMobile] kasik bintang dulu aku new user bca saldoku k pas cek kok berkurang jadi k terus notif transaksi jga lambat gaada catatan transaksi jga dong perbaiki kalau udh dibalas aku tambahin bintang,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] hadeh udh isi k ko tiba saldo sisa k pdhl ga prnah transaksi apapun lwak
gabisa,4763,[BCAMobile] qris ga di pakai daritadi loading mulu transfer uang gabisa,[BCAMobile] awal buka rek pas mau login mbanking nya ya dibantu cs sm security tetep gabisa login sms gada kasih kode verifikasi sekarang tetep tidak bisa mbanking nya padahal saya isi pulsa rb,[BCAMobile] maksudnya apa udah aktivasi kode eh balik apknya malah suruh update mana d update muter mulu gabisa gajelas habisin pulsa aja
d,4320,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] mksdnya apa sih ini dikenakan biaya lg kor biaya w d swt decl kepotong x auto debit,[BCAMobile] bca macam apa saya udh d potong k masa d potong ngelawak banget yesel gw yimpen uang d bca anh sumpah
trus,4244,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] asli sering banget merah trus sinyal bagus padahal aneh bca sekrang
tp,3874,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] buruk bayar pinjaman saldo terpotong tp tagihan aplikasi pinjaman ada,[BCAMobile] sinyal bagus banget malah tp apk malah merah mulu heran
tdk,3601,[BCAMobile] mbca skrg tdk kayak dulu lancar sekarang sering bug lemot,[BCAMobile] bca sbg bank no indonesia ternyata bisa memberi penjelasan hilangnya uang yg tdk tercantum dlm mutasi memang nominalnya hny tp jelas membuktikan keteledoran pihak bca dlm menjaga uang nasabahnya bagaimana dikalikan ribuan org yg ga sadar uangnya terpotong ga jelas bca jelaskan kmn uang sy,[BCAMobile] sinyal susah tdk spt aplikasi bank
x,3557,[BCAMobile] udah restart udah x masuk qris buffering terus padahal pake wifi kapasitas yg paling bagus pdhl pake bca mobile krn simpel bagus cepat transaksinya alasan yg mau utarakan,[BCAMobile] yg terupdate tiap login mesti x siih login pertama input kode akses auto masuk harus ulangi ketik barulah masuk selalu kaya gitu lohh versi terbaru padahal versi sebelumnya gak pernah gini normal aja sekali login langsung masuk mohon penjelasannya min,[BCAMobile] mksdnya apa sih ini dikenakan biaya lg kor biaya w d swt decl kepotong x auto debit
sampe,3502,[BCAMobile] buka fitur qris sampe menit cuma muter doang sinyal bagus pake wifi kan aneh,[BCAMobile] verifikasi pribadi gagal mulu padahal sesuai foto selfie sampe lepas hijab sesuai ktp ttp gagal,[BCAMobile] kecewa tiap minggu kepotong admin rb dulu sampe admin tiap bulan rb sekarang potongan nya rb transfer jam sore malam jam tranfer kepotong rb giliran protes pengendapan kalo tf x sehari kepotong rb katanya admin la terus kalo sehari semalem tf x beratai rb x sekalian aja mrb perbulan kan kenyang
bener,3474,[BCAMobile] sinyal penuh internet lancar masih aj kode merah aneh bener,[BCAMobile] update makin bener bukan makin lama merahnya klo akses apa aja transfer apa mutasi dikit sending muter doank,[BCAMobile] mau pindah hp login semua oke masuk layar utama disuruh verifikasi data wajah oke perasaan data yg dimasukkan bener semua wajah bener semua kok salah terus aneh kalau gini kan ke customer service kan repot
tetep,3420,[BCAMobile] awal buka rek pas mau login mbanking nya ya dibantu cs sm security tetep gabisa login sms gada kasih kode verifikasi sekarang tetep tidak bisa mbanking nya padahal saya isi pulsa rb,[BCAMobile] mau login bca mobile susah harus ber puluh x tetep aj gak padahal pulsa banyak gak ad sulusi solusi bantuan g,[BCAMobile] ndak masuk padahal udah pulsanya malah disuruh ulangi beberapa lagi diulangi berkali kali tetep aja bisa
gini,3322,[BCAMobile] ribet banget ni apk sumpah dikir verif dikit verif udhmah nyedot pulsa mulu benerin lah jangan ribet gini mau pake aja ribet cuh,[BCAMobile] kenapa kok tiap kali buka slalu gak langsung lagi padahal update gini khn jadi gak liat saldo saya tinggal berapa,[BCAMobile] bca knpa yah gak jelas tf ribu masuk saldo ribu tadi tf barusan masuk gak jelas nih bca males gunain bca kalo kaya gini postingannya banyak sekali
bgt,3302,[BCAMobile] masa gue isi flazz selalu gagal kedebit gak layak bgt gue transaksi gue,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya
g,3144,[BCAMobile] jaringan sering merah sinyal g tangsel payah bos,[BCAMobile] mau login bca mobile susah harus ber puluh x tetep aj gak padahal pulsa banyak gak ad sulusi solusi bantuan g,[BCAMobile] ngebug terus udah nyoba berkali kali kali g dapet kode otp nya benerin min
ko,3076,[BCAMobile] hadeh udh isi k ko tiba saldo sisa k pdhl ga prnah transaksi apapun lwak,[BCAMobile] mohon bertanya min pindah kota jawa ko mobile bca sya gk di buka suruh masuk nomor kartu atm ada konfirmasi lewat nomor hp min susah mau isi saldo mlhn eror begini min,[BCAMobile] parah semenjak update semakin banyak pemakai ko malah lelet
klo,3019,[BCAMobile] update makin bener bukan makin lama merahnya klo akses apa aja transfer apa mutasi dikit sending muter doank,[BCAMobile] klo qriss lelet langsung masuk tujuan,[BCAMobile] yah bca klo mau bayar pake qris lemotnya naudzubillah jangan bilang jaringan yaa jaringan udah bagus lampu indikator udah ijo masuk tampilan qris susah nya minta ampun
knp,3016,[BCAMobile] tanggal des knp aplikasi bca ada iklannya ketika mau transfer sesama bca ada daftar nomer rekening transaksi sudah daftarkan sebelumnya,[BCAMobile] knp otp nya gak dikirim kirim pas ampe kesel sampe ngasal isi kode otp tbtb diblokir,[BCAMobile] knp stelah d update apl m bngking jdi lemot gk kyak biasa ny slow respon
m,2957,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] mulai menyebalkan tiap buka bca mobil m bangking mutar lama ga karuan padahal signal posel full ram aman coba ganti brimo langsung ga pake lama harap perbaiki dong sistem nya bca,[BCAMobile] skarng knapa sya tfr pdhl brhasil pi m bnking trtulis msih dlu bgus skrg susah bgt
dah,2861,[BCAMobile] barusan ditelp bca jelasin ttg kartu kredit ngomong nya cepat hampir ga ngerti ujung ujungmaksa wajib ikut asuransi dipotong melalui credit bca bicara mutar mutar ngotot diajak bicara wajib ikut asuransi gila nelp hampir menit mmg gila menganggu padahal dah blg ada asuransi maksa,[BCAMobile] nyesel pake bca top up flazz bca gagal transaksi uang dah hilang bukanya ganti malah kebanyakan ngomong akhirnya gantiin uang bos sangka nyuri padahal masalah transaksi gagal jelasin detail ungkit direktur nya allah,[BCAMobile] kebiasaan kali sering gangguan pas malam minggu udah gitu lampu indikator merahnya lama lgi anj update aja dah mntp gk usah update klw malah nambah masalah mbankking dipakek cuma buat byr ngirim scan brcode doang gk usah diperberat nambah inj jnck
in,2588,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong,[BCAMobile] astaghfirullah gara mau aktif in mbanking pulsa ku habis rb apa bca kerja nya habis sin pulsa gk bisa bisa woy gimana woy,[BCAMobile] makin kesini makin kacau aja suka eror transaksi dapat dilakukan terus mana erornya lama malu in sumpah sekelas bca kaya begini mulu
ni,2550,[BCAMobile] ribet banget ni apk sumpah dikir verif dikit verif udhmah nyedot pulsa mulu benerin lah jangan ribet gini mau pake aja ribet cuh,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] saldo habis dihek org gmna aplikasi ny aman gak ni
sdh,2508,[BCAMobile] parah banget suruh update giliran sdh update malah qr yg susah jaringan data ga pake wifi ga juga gmn sih,[BCAMobile] kinerja bank nya bagus aplilkasi nya lemot kalau buka qris diperbaiki komplain sdh banyak kok bilang gak kendala haduhhhh mau jadi bank bumn gak mau terima kritik sdh brp minggu gak perbaikan qris mu it mu pecat aja,[BCAMobile] sy mbca lovers skrg makin lemot indikatornya merah mulu lemotttt mau transaksi qris transfer jd lamaa jadi bikin kesal ga nyaman abis jebol upgrade antivirus enakan m banking bank sebelah cpet kalau sdh normal sy rubah bintang nya lima
lg,2477,[BCAMobile] mksdnya apa sih ini dikenakan biaya lg kor biaya w d swt decl kepotong x auto debit,[BCAMobile] habis update nggk di buka y apk nya udh coba hapus download lg jg sama aja kaga kebuka,[BCAMobile] dulu aplikasi bca paling cepat rasa proses apapun sekarang sangat sangat lambat sekali apa menunggu proses berubah warna merah biru hijau sangaaattt lama sekali apa lg waktu melakukan proses pembayaran pakai qris kan jd gk enak klo pas lg banyak antrian pdhal jaringan internet kuota semuanya baik lebih cukup mohon diperbaikin tim bca terima kasih
nunggu,2353,[BCAMobile] aplikasi nya aneh nunggu verifikasi lama banget kedepannya jangan ini,[BCAMobile] kok nggk nerima kode otp nya sejam lebih nunggu gimana si,[BCAMobile] gila bca parah sekarang tranfer via qris tranfer gagal saldo terpotong nunggu hari kerja ehh ujung nya duit ga balik udah beberapa kali ngalamin kaya gini pindah bank aja udah ga bnr bca
kaya,2287,[BCAMobile] bca knpa yah gak jelas tf ribu masuk saldo ribu tadi tf barusan masuk gak jelas nih bca males gunain bca kalo kaya gini postingannya banyak sekali,[BCAMobile] yg terupdate tiap login mesti x siih login pertama input kode akses auto masuk harus ulangi ketik barulah masuk selalu kaya gitu lohh versi terbaru padahal versi sebelumnya gak pernah gini normal aja sekali login langsung masuk mohon penjelasannya min,[BCAMobile] gila bca parah sekarang tranfer via qris tranfer gagal saldo terpotong nunggu hari kerja ehh ujung nya duit ga balik udah beberapa kali ngalamin kaya gini pindah bank aja udah ga bnr bca
tpi,2258,[BCAMobile] lemot sekali mau buka apk nya pdhal jaringan bagus tpi jaringan terputus terus kira knpa apa eror,[BCAMobile] padahal sinyal kenceng tpi pas mau bayar qris loadingnya lama banget heran kadang,[BCAMobile] yg benci aplikasi adalah betapa belibetnya proses buat masuk aplikasi apabila terjadi error sama kartu sim nyoba buat masuk mbanking sampe rela beli pulsa tpi respon aplikasinya disuruh registrasi ulang atm borosin pulsa banget
karna,2248,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] apl meribetkan karna registrasi ulang
sy,2248,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] sekarang bca mobile gk di akses sy menggunakan wifi yah,[BCAMobile] baru mau daftar disuruh mematikan fitur aksesibilitas pas dimatikan malah suruh menghubungi cs lewat apk halo bca sy disni baru mau membuat akun kalau baru membuat sudah persulit lalu harus bagaimana
ngga,2079,[BCAMobile] tau oneklik dinonaktifkan aja ngga jelas apa alasannya masa iya sebulan ngga transaksi langsung diblokir ngeselin,[BCAMobile] verifikasi wajah sekarang susah banget ngga,[BCAMobile] top up dana saldo udah dipotong uang ga masuk gimana si bca lambat bgt proses nya malah ngga mutasi tpi saldo udah kepotong bca uang ngga masuk malah dipotong makin ngga aman nabung bca
gitu,2063,[BCAMobile] indikator lampu merah terus mana sering gitu mulu mau dipakek kayak gitu mulu berjam hak sinyal bagus apk udah diperbarui kejadian terus berulang sering,[BCAMobile] yg terupdate tiap login mesti x siih login pertama input kode akses auto masuk harus ulangi ketik barulah masuk selalu kaya gitu lohh versi terbaru padahal versi sebelumnya gak pernah gini normal aja sekali login langsung masuk mohon penjelasannya min,[BCAMobile] gimana tolong habis ganti hp baru dipindahkan aktifasi lgi muncul proses silakan ulangi beberapa lagi udah ganti cardnya di sim lalu sudah pakai data tidak pakai wifi jaringan stabil restart hp juga udh kok kyk gitu
rb,1910,[BCAMobile] awal buka rek pas mau login mbanking nya ya dibantu cs sm security tetep gabisa login sms gada kasih kode verifikasi sekarang tetep tidak bisa mbanking nya padahal saya isi pulsa rb,[BCAMobile] saldo tiba ilang ada mutasi padahal kemarin baru kepotong bunga rb perbulan apk aneh,[BCAMobile] kecewa tiap minggu kepotong admin rb dulu sampe admin tiap bulan rb sekarang potongan nya rb transfer jam sore malam jam tranfer kepotong rb giliran protes pengendapan kalo tf x sehari kepotong rb katanya admin la terus kalo sehari semalem tf x beratai rb x sekalian aja mrb perbulan kan kenyang
trs,1879,[BCAMobile] registrasi susah gagal trs jelek banget bca mobile skrg,[BCAMobile] kmrin sisa uang rbu trs tdi pagi transfer teman ribu udh dicek mutasi udh benr ribu kok sisa saldo ribu ribunya kemna nih cek mutasi gak uang kluar,[BCAMobile] di update malah error trs pembayaran qris nya bank besar kok kayak gini aplikasinya muak sama bank swasta
bs,1869,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] udah keluar apl bca mobile cukup lumayan lama mau masuk ga padahal pulsa dr hp sya cukup kenapa ga bs masuk dan ada notifikasi pemberitahuan tiba tiba saldo kepotong,[BCAMobile] sy ga bayar pake qris bca mobile klik kotak qris loading ga buka qris nya bagaimana spy bs byr pake qris
jd,1869,[BCAMobile] merah melulu jd susah transaksi aplikasi mobile sebelah enggak tuh,[BCAMobile] dulu aplikasi bca paling cepat rasa proses apapun sekarang sangat sangat lambat sekali apa menunggu proses berubah warna merah biru hijau sangaaattt lama sekali apa lg waktu melakukan proses pembayaran pakai qris kan jd gk enak klo pas lg banyak antrian pdhal jaringan internet kuota semuanya baik lebih cukup mohon diperbaikin tim bca terima kasih,[BCAMobile] update malah jd lemot lampu indikator merah terus padahal sinyal bagus mohon perbaiki
knpa,1855,[BCAMobile] bca knpa yah gak jelas tf ribu masuk saldo ribu tadi tf barusan masuk gak jelas nih bca males gunain bca kalo kaya gini postingannya banyak sekali,[BCAMobile] knpa gbsa melakukan transaksi cuma di halaman aja kejelasannya,[BCAMobile] lemot sekali mau buka apk nya pdhal jaringan bagus tpi jaringan terputus terus kira knpa apa eror
masukin,1791,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] apk jelek cara masuknya misal udah masukin no dikit kirim sms pake biaya saya sampe brp x kirim sms kena biaya tp gak jelas kmn sekali harus kirim otp pake pulsa apk cara login nya jadul banget yg mh udah pake link kalau masuk pake vermuk padahal apk mendunia ko caranya ketinggalan sama yg,[BCAMobile] update terasa sangat slow respon sekali aplikasi nya keseringan merah indikator pas ijo masukin pin lambat bgt tiba terputus blm bca kybord nya yampun
si,1783,[BCAMobile] mohon maaf kk kok si saldo lewat dana gx masuk sedang notifikasi nya masuk saya liat saldo nya kosong,[BCAMobile] kok nggk nerima kode otp nya sejam lebih nunggu gimana si,[BCAMobile] gimana si sistemnya ya diperbaiki masa mau login m bnking kok loading terus udah gitu lagi butuh banget bca mobile jadi kesushan gara gara masalah
k,1723,[BCAMobile] kasik bintang dulu aku new user bca saldoku k pas cek kok berkurang jadi k terus notif transaksi jga lambat gaada catatan transaksi jga dong perbaiki kalau udh dibalas aku tambahin bintang,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] apa aplikasi bintang register mobile banking pagi ampe sore bilangnya tunggu indikator hijau pdahal ada indikator sama sekali ampe habis pulsa gue k
pdhl,1702,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] udah restart udah x masuk qris buffering terus padahal pake wifi kapasitas yg paling bagus pdhl pake bca mobile krn simpel bagus cepat transaksinya alasan yg mau utarakan,[BCAMobile] hadeh udh isi k ko tiba saldo sisa k pdhl ga prnah transaksi apapun lwak
blm,1620,[BCAMobile] update terasa sangat slow respon sekali aplikasi nya keseringan merah indikator pas ijo masukin pin lambat bgt tiba terputus blm bca kybord nya yampun,[BCAMobile] terlalu ribet prosedurnya masalah bca mau ganti nomer hp bca mobile berkali kali hubungi halo bca ngga hasilnya udah bolak balik x atm daftarin nomer hp baru tetep aja ngga ngantrinya panjang atm buang buang waktu buang pulsa konfirmasi pake sms pake telepon kalaupun berhasil tetep blm transaksi ujung ujungnya datang bank masalah salah transfer ribet ngga ada solusi bca uang ngga kembali sangat kecewa,[BCAMobile] transaksi gopay bca gopay transaksi berhasil ada buktinya pas cek bca mobile ada notifikasi cek saldo saya blm masuk sama sekali kemarin
jg,1502,[BCAMobile] habis update nggk di buka y apk nya udh coba hapus download lg jg sama aja kaga kebuka,[BCAMobile] mau akses mutasi rekening mbca lama banget padahal hijau lampunya tiap mau qris jg lama padahal aplikasi di update bca skrg jadi begini,[BCAMobile] verifikasi selalu gagal udahlah bank nya jg ribet
sya,1415,[BCAMobile] skarng knapa sya tfr pdhl brhasil pi m bnking trtulis msih dlu bgus skrg susah bgt,[BCAMobile] mohon bertanya min pindah kota jawa ko mobile bca sya gk di buka suruh masuk nomor kartu atm ada konfirmasi lewat nomor hp min susah mau isi saldo mlhn eror begini min,[BCAMobile] udah keluar apl bca mobile cukup lumayan lama mau masuk ga padahal pulsa dr hp sya cukup kenapa ga bs masuk dan ada notifikasi pemberitahuan tiba tiba saldo kepotong
yah,1411,[BCAMobile] sekarang bca mobile gk di akses sy menggunakan wifi yah,[BCAMobile] bca knpa yah gak jelas tf ribu masuk saldo ribu tadi tf barusan masuk gak jelas nih bca males gunain bca kalo kaya gini postingannya banyak sekali,[BCAMobile] yah bca klo mau bayar pake qris lemotnya naudzubillah jangan bilang jaringan yaa jaringan udah bagus lampu indikator udah ijo masuk tampilan qris susah nya minta ampun
skrg,1398,[BCAMobile] mbca skrg tdk kayak dulu lancar sekarang sering bug lemot,[BCAMobile] skarng knapa sya tfr pdhl brhasil pi m bnking trtulis msih dlu bgus skrg susah bgt,[BCAMobile] jelek skrg qr lambat membukanya padahal penyimpan banyak kosong sinyal bagus mengecewakan
abis,1358,[BCAMobile] aplikasi ngaco mau buka rekening terus gk pulsa abis daftar kaga alesan nya jaringan,[BCAMobile] ko mau daftar mbing gak di coba beberapa kali yg mlh pulsa yg abis kacau bca nih,[BCAMobile] sy mbca lovers skrg makin lemot indikatornya merah mulu lemotttt mau transaksi qris transfer jd lamaa jadi bikin kesal ga nyaman abis jebol upgrade antivirus enakan m banking bank sebelah cpet kalau sdh normal sy rubah bintang nya lima
emang,1322,[BCAMobile] kirim kode otp kmana d tungguin gk muncul d kirim berkali kali gk muncul malah d blokir m banking gue gk jelas emang bikin susah rakyat jelata emg apk,[BCAMobile] emang pihak bca penagihan minggu tengah hari bolong kermh baru tau pihak bank besar tahihan tak seberapa org kermh bukan jam kerja,[BCAMobile] bca diperbaiki sistem login salah id login m banking jngn dipersulit nasabahnya atm bank bca harus telfon cukup kode otp hari minggu bank tutup atm emang buka tpi ujung ujungnya suruh telvon ke kalau telvon banyak makan pulsa saja terimakasih
yaa,1259,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] yah bca klo mau bayar pake qris lemotnya naudzubillah jangan bilang jaringan yaa jaringan udah bagus lampu indikator udah ijo masuk tampilan qris susah nya minta ampun,[BCAMobile] kok transfer antar bank sering gagal yaa gagal koneksi mulu sinyal dana banyak
gajelas,1259,[BCAMobile] aplikasi gajelas login nya bikin repot pake pulsa segala,[BCAMobile] makin update bukan makin bener makin parah transaksi jaringan biru merah mulu gajelas,[BCAMobile] maksudnya apa udah aktivasi kode eh balik apknya malah suruh update mana d update muter mulu gabisa gajelas habisin pulsa aja
gw,1231,[BCAMobile] bca macam apa saya udh d potong k masa d potong ngelawak banget yesel gw yimpen uang d bca anh sumpah,[BCAMobile] pertama kali pake bca mobile udah dibikin kecewa kocakk udh ngirim saldo dana bca malah saldonya padahal apk dana nya udh berkurang saldo gw apk lawak gimana saldo gw,[BCAMobile] m bca sekarang lemot banget sumpah login lama qris lama bahkan suka bermasalah gw sampe bolak balik pulang pergi rumah x gara gak qris benerin tuh aplikasi jangan cuma admin nya aja digedein bukan nya mempermudah malah nyusahin
bsa,1218,[BCAMobile] gmana syah dah selesai download aja gak bsa no sayah sayah daftarkan dong,[BCAMobile] ko aneh ga bsa buat transfer merah trs,[BCAMobile] aplikasi jelek sinyal bagus mash ajah g bsa transaksi percuma bikin aplikasi ga
